Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Indexing/Data.List:1000,1.7224574957667356e-6,1.7208752131264536e-6,1.7239697696340423e-6,5.148565501513324e-9,4.317518191751524e-9,6.3846686802513715e-9
Indexing/Data.Vector:1000,7.218277728907063e-9,7.202954725409307e-9,7.230548430588506e-9,4.755120437669828e-11,3.803771310317116e-11,5.8738683738842e-11
Indexing/Data.Vector.Unboxed:1000,7.882009785882519e-9,7.876160821707695e-9,7.888210813360648e-9,2.0134568950268076e-11,1.663627099026865e-11,2.667158835843423e-11
Indexing/Data.Vector.Storable:1000,7.427380124336057e-9,7.420746615935216e-9,7.434580559930456e-9,2.3146247086341446e-11,1.980954763256407e-11,2.7832957027572082e-11
Indexing/Data.Sequence:1000,7.617969917810204e-8,7.613126747699744e-8,7.624222833620014e-8,1.859262884274723e-10,1.4168565182039223e-10,2.6286707534573605e-10
Indexing/Data.Massiv.Array:1000,1.0689500273065199e-8,1.067932065598599e-8,1.070040350143713e-8,3.455618004827935e-11,2.8043211727459366e-11,4.441271977876001e-11
Indexing/Data.RRBVector:1000,1.642977646374314e-8,1.6414381268838003e-8,1.6441941556028006e-8,4.616852806247788e-11,3.8857214391579524e-11,5.6528566212128455e-11
Indexing/Data.List:10000,2.1125337546353887e-5,2.1111290438072144e-5,2.113853721995083e-5,4.349055631121638e-8,3.705935210023048e-8,5.416077365303699e-8
Indexing/Data.Vector:10000,7.247495041179015e-9,7.230699039446223e-9,7.265225444328075e-9,5.6694602380988256e-11,4.541591585956157e-11,7.447787496023229e-11
Indexing/Data.Vector.Unboxed:10000,7.881764365354333e-9,7.875903173086712e-9,7.887368009227757e-9,1.865764496302659e-11,1.5326278034111197e-11,2.272018583451919e-11
Indexing/Data.Vector.Storable:10000,7.42845178576623e-9,7.4225494257465996e-9,7.433980878325486e-9,1.9059487415384734e-11,1.5857771199574677e-11,2.2852999794202676e-11
